objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
was-demo01,was-demo_haze.jpg,,Haze - The National Environment Agency,image/jpeg,Banner image of NEA website from 2015 feat. haze,NEA,,2015-11-08,,image,Haze; Environment,Singapore,,,,NEA,WAS,,,,,,Image,eng,
was-demo02,https://eresources.nlb.gov.sg/webarchives/2015-11-18%2017:10:21.000/wp/details/http%3A%2F%2Fwww.haze.gov.sg%2F?cmsUuid=6775585a-cec8-4276-b395-ef70373feb69,,Haze - The National Environment Agency (WAS),record,Archived NEA website,NEA,,2015-11-08,,archived website,Haze; Environment,Singapore,,,,NEA,WAS,,,,,,Website,eng,
was-demo03,,3sdQVX_zch4,What is Legal Deposit and What's In It? | The Library Report #32,video/mpeg,Library Report episode on Legal Deposit,NLB,,2023-08-31,,youtube video,Library,Singapore,,,,NLB,NLB,,,,,,Video,eng,
was-demo04,was-demo_englishes.jpg,,Englishes and Literatures-in-English in a Globalised World,image/jpeg,Book cover of conference proceedings,ESEA,,2008,,image,English,Singapore,,,,,NLB,,,,,,Image,eng,
was-demo05,https://eservice.nlb.gov.sg/flipviewer/data/booksg_publish/d/d9ed0d56-e379-498e-9aa8-4d3b4b02cc90/web/html5/index.html?opf=tablet/BOOKSG.xml&launchlogo=tablet/BOOKSG_BrandingLogo_.png,,Englishes and Literatures-in-English in a Globalised World (DLD),record,Limited preview Flipbook of conference proceedings,ESEA,,2008,,conference proceedings,English,Singapore,,,,,NLB,,,,,,Conference proceedings,eng,
was-demo06,was-demo_pdf.pdf,,Demo PDF,application/pdf,Imagine this is a PDF book,Stat Fnc,,2025-05-20,,pdf file,Collection Builder,Singapore,,,,NLB,NLB,,,,,,PDF,eng,
was-demo07,good_news_04.mp3,,Good News - Purpose of the Program,audio/mp3,"Radio program episode outlines the purpose of the 'Good News' radio program, to broadcast positive and peaceful things rather than negative. Episode includes organ music and songs sung by Al Marino, jokes made in the face of war, and urges listeners to buy quality-made products for better piece of mind.",,,1947,yes,radio program,Peace; Good News; Quality Products; World War; Organ,,,,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
was-demo08,mg101_b6_frank_robinson_negatives_009.jpg,,I Talked With God Advertisement,image/jpeg,"Photograph of Psychiana Advertisement pinned to a board, reads 'I TALKED WITH GOD...'",,,1935,yes,single-page; photographs,Advertising,"Spokane, WA",47.65557,-117.419063,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",mg101_b6_frank_robinson_negatives_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
was-demo09,mg101_b7_f26_107.pdf,,The Amazing Story of 'Psychiana',application/pdf,Small card advertising a brochure about Psychiana for only $1.00. Includes detachable order form.,"Psychiana, Inc.",,1935/1950,yes,single-page; offers,Psychiana Headquarters; Psychiana Staff; Costs,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",mg101_b7_f26_107,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
was-demo10,,x6eu5wj8b04,"Psychiana, A Mail Order Religion Created in the Small Town of Moscow, Idaho",video/mpeg,"Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.",Northwest Public Broadcasting,,2019-08-28,,youtube video,Religion; Frank B. Robinson,,,,,Northwest Public Broadcasting,Northwest Public Broadcasting,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
